STATE_FIPS,State_Postal ,CD_115_FIPS,CD_State_n,State_Name,CD_TossUp
1,AL,1,AL-01,Alabama,N
1,AL,2,AL-02,Alabama,N
1,AL,3,AL-03,Alabama,N
1,AL,4,AL-04,Alabama,N
1,AL,5,AL-05,Alabama,N
1,AL,6,AL-06,Alabama,N
1,AL,7,AL-07,Alabama,N
2,AK,0,AK-00,Alaska,N
4,AZ,1,AZ-01,Arizona,N
4,AZ,2,AZ-02,Arizona,N
4,AZ,3,AZ-03,Arizona,N
4,AZ,4,AZ-04,Arizona,N
4,AZ,5,AZ-05,Arizona,N
4,AZ,6,AZ-06,Arizona,N
4,AZ,7,AZ-07,Arizona,N
4,AZ,8,AZ-08,Arizona,N
4,AZ,9,AZ-09,Arizona,N
5,AR,1,AR-01,Arkansas,N
5,AR,2,AR-02,Arkansas,N
5,AR,3,AR-03,Arkansas,N
5,AR,4,AR-04,Arkansas,N
6,CA,1,CA-01,California,N
6,CA,2,CA-02,California,N
6,CA,3,CA-03,California,N
6,CA,4,CA-04,California,N
6,CA,5,CA-05,California,N
6,CA,6,CA-06,California,N
6,CA,7,CA-07,California,N
6,CA,8,CA-08,California,N
6,CA,9,CA-09,California,N
6,CA,10,CA-10,California,Y
6,CA,11,CA-11,California,N
6,CA,12,CA-12,California,N
6,CA,13,CA-13,California,N
6,CA,14,CA-14,California,N
6,CA,15,CA-15,California,N
6,CA,16,CA-16,California,N
6,CA,17,CA-17,California,N
6,CA,18,CA-18,California,N
6,CA,19,CA-19,California,N
6,CA,20,CA-20,California,N
6,CA,21,CA-21,California,N
6,CA,22,CA-22,California,N
6,CA,23,CA-23,California,N
6,CA,24,CA-24,California,N
6,CA,25,CA-25,California,Y
6,CA,26,CA-26,California,N
6,CA,27,CA-27,California,N
6,CA,28,CA-28,California,N
6,CA,29,CA-29,California,N
6,CA,30,CA-30,California,N
6,CA,31,CA-31,California,N
6,CA,32,CA-32,California,N
6,CA,33,CA-33,California,N
6,CA,34,CA-34,California,N
6,CA,35,CA-35,California,N
6,CA,36,CA-36,California,N
6,CA,37,CA-37,California,N
6,CA,38,CA-38,California,N
6,CA,39,CA-39,California,Y
6,CA,40,CA-40,California,N
6,CA,41,CA-41,California,N
6,CA,42,CA-42,California,N
6,CA,43,CA-43,California,N
6,CA,44,CA-44,California,N
6,CA,45,CA-45,California,Y
6,CA,46,CA-46,California,N
6,CA,47,CA-47,California,N
6,CA,48,CA-48,California,Y
6,CA,49,CA-49,California,N
6,CA,50,CA-50,California,N
6,CA,51,CA-51,California,N
6,CA,52,CA-52,California,N
6,CA,53,CA-53,California,N
8,CO,1,CO-01,Colorado,N
8,CO,2,CO-02,Colorado,N
8,CO,3,CO-03,Colorado,N
8,CO,4,CO-04,Colorado,N
8,CO,5,CO-05,Colorado,N
8,CO,6,CO-06,Colorado,N
8,CO,7,CO-07,Colorado,N
9,CT,1,CT-01,Connecticut,N
9,CT,2,CT-02,Connecticut,N
9,CT,3,CT-03,Connecticut,N
9,CT,4,CT-04,Connecticut,N
9,CT,5,CT-05,Connecticut,N
10,DE,0,DE-00,Delaware,N
11,DC,98,DC-19,District of Columbia,N
12,FL,1,FL-01,Florida,N
12,FL,2,FL-02,Florida,N
12,FL,3,FL-03,Florida,N
12,FL,4,FL-04,Florida,N
12,FL,5,FL-05,Florida,N
12,FL,6,FL-06,Florida,N
12,FL,7,FL-07,Florida,N
12,FL,8,FL-08,Florida,N
12,FL,9,FL-09,Florida,N
12,FL,10,FL-10,Florida,N
12,FL,11,FL-11,Florida,N
12,FL,12,FL-12,Florida,N
12,FL,13,FL-13,Florida,N
12,FL,14,FL-14,Florida,N
12,FL,15,FL-15,Florida,N
12,FL,16,FL-16,Florida,N
12,FL,17,FL-17,Florida,N
12,FL,18,FL-18,Florida,N
12,FL,19,FL-19,Florida,N
12,FL,20,FL-20,Florida,N
12,FL,21,FL-21,Florida,N
12,FL,22,FL-22,Florida,N
12,FL,23,FL-23,Florida,N
12,FL,24,FL-24,Florida,N
12,FL,25,FL-25,Florida,N
12,FL,26,FL-26,Florida,Y
12,FL,27,FL-27,Florida,Y
13,GA,1,GA-01,Georgia,N
