"FIPS","STATEFP","COUNTYFP","CD115FP"
"101003","1","3","1"
"101025","1","25","1"
"101053","1","53","1"
"101097","1","97","1"
"101099","1","99","1"
"101129","1","129","1"
"102001","1","1","2"
"102005","1","5","2"
"102011","1","11","2"
"102013","1","13","2"
"102031","1","31","2"
"102035","1","35","2"
"102039","1","39","2"
"102041","1","41","2"
"102045","1","45","2"
"102051","1","51","2"
"102061","1","61","2"
"102067","1","67","2"
"102069","1","69","2"
"102101","1","101","2"
"102109","1","109","2"
"103015","1","15","3"
"103017","1","17","3"
"103019","1","19","3"
"103027","1","27","3"
"103029","1","29","3"
"103081","1","81","3"
"103087","1","87","3"
"103101","1","101","3"
"103111","1","111","3"
"103113","1","113","3"
"103115","1","115","3"
"103121","1","121","3"
"103123","1","123","3"
"104009","1","9","4"
"104019","1","19","4"
"104033","1","33","4"
"104043","1","43","4"
"104049","1","49","4"
"104055","1","55","4"
"104057","1","57","4"
"104059","1","59","4"
"104071","1","71","4"
"104075","1","75","4"
"104079","1","79","4"
"104093","1","93","4"
"104095","1","95","4"
"104125","1","125","4"
"104127","1","127","4"
"104133","1","133","4"
"105071","1","71","5"
"105077","1","77","5"
"105083","1","83","5"
"105089","1","89","5"
"105103","1","103","5"
"106007","1","7","6"
"106009","1","9","6"
"106021","1","21","6"
"106037","1","37","6"
"106073","1","73","6"
"106117","1","117","6"
"107023","1","23","7"
"107025","1","25","7"
"107047","1","47","7"
"107063","1","63","7"
"107065","1","65","7"
"107073","1","73","7"
"107085","1","85","7"
"107091","1","91","7"
"107101","1","101","7"
"107105","1","105","7"
"107107","1","107","7"
"107119","1","119","7"
"107125","1","125","7"
"107131","1","131","7"
"200013","2","13","0"
"200016","2","16","0"
"200020","2","20","0"
"200050","2","50","0"
"200060","2","60","0"
"200068","2","68","0"
"200070","2","70","0"
"200090","2","90","0"
"200100","2","100","0"
"200105","2","105","0"
"200110","2","110","0"
"200122","2","122","0"
"200130","2","130","0"
"200150","2","150","0"
"200158","2","158","0"
"200164","2","164","0"
"200170","2","170","0"
"200180","2","180","0"
"200185","2","185","0"
"200188","2","188","0"
"200195","2","195","0"
"200198","2","198","0"
"200220","2","220","0"
"200230","2","230","0"
"200240","2","240","0"
"200261","2","261","0"
"200275","2","275","0"
"200282","2","282","0"
"200290","2","290","0"
"401001","4","1","1"
"401005","4","5","1"
"401007","4","7","1"
"401009","4","9","1"
"401011","4","11","1"
"401013","4","13","1"
"401015","4","15","1"
"401017","4","17","1"
"401019","4","19","1"
"401021","4","21","1"
"401025","4","25","1"
"402003","4","3","2"
"402019","4","19","2"
"403013","4","13","3"
"403019","4","19","3"
"403021","4","21","3"
"403023","4","23","3"
"403027","4","27","3"
"404007","4","7","4"
"404012","4","12","4"
"404013","4","13","4"
"404015","4","15","4"
"404021","4","21","4"
"404025","4","25","4"
"404027","4","27","4"
"405013","4","13","5"
"406013","4","13","6"
"407013","4","13","7"
"408013","4","13","8"
"409013","4","13","9"
"501001","5","1","1"
"501005","5","5","1"
"501017","5","17","1"
"501021","5","21","1"
"501023","5","23","1"
"501031","5","31","1"
"501035","5","35","1"
"501037","5","37","1"
"501041","5","41","1"
"501049","5","49","1"
"501055","5","55","1"
"501063","5","63","1"
"501065","5","65","1"
"501067","5","67","1"
"501069","5","69","1"
"501075","5","75","1"
"501077","5","77","1"
"501079","5","79","1"
"501085","5","85","1"
"501093","5","93","1"
"501095","5","95","1"
"501107","5","107","1"
"501111","5","111","1"
"501117","5","117","1"
"501121","5","121","1"
"501123","5","123","1"
"501129","5","129","1"
"501135","5","135","1"
"501137","5","137","1"
"501147","5","147","1"
"502029","5","29","2"
"502045","5","45","2"
"502105","5","105","2"
"502119","5","119","2"
"502125","5","125","2"
"502141","5","141","2"
"502145","5","145","2"
"503007","5","7","3"
"503009","5","9","3"
"503015","5","15","3"
"503033","5","33","3"
"503089","5","89","3"
"503101","5","101","3"
"503115","5","115","3"
"503129","5","129","3"
"503131","5","131","3"
"503143","5","143","3"
"504003","5","3","4"
"504011","5","11","4"
"504013","5","13","4"
"504019","5","19","4"
"504025","5","25","4"
"504027","5","27","4"
"504033","5","33","4"
"504039","5","39","4"
"504043","5","43","4"
"504047","5","47","4"
"504051","5","51","4"
"504053","5","53","4"
"504057","5","57","4"
"504059","5","59","4"
"504061","5","61","4"
"504069","5","69","4"
"504071","5","71","4"
"504073","5","73","4"
"504081","5","81","4"
"504083","5","83","4"
"504087","5","87","4"
"504091","5","91","4"
"504097","5","97","4"
"504099","5","99","4"
"504101","5","101","4"
"504103","5","103","4"
"504109","5","109","4"
"504113","5","113","4"
"504127","5","127","4"
"504131","5","131","4"
"504133","5","133","4"
"504139","5","139","4"
"504149","5","149","4"
"601007","6","7","1"
"601021","6","21","1"
"601035","6","35","1"
