FIPS,STATE_FIPS,COUNTY_FIPS,CD_115_FIPS,State_Name,State_Postal ,County_Name,County FIPS,CD_House_TossUp_Cook,,
101003,1,3,1,Alabama,AL,Baldwin County,1003,no,,
101025,1,25,1,Alabama,AL,Clarke County,1025,no,,
101053,1,53,1,Alabama,AL,Escambia County,1053,no,,
101097,1,97,1,Alabama,AL,Mobile County,1097,no,,
101099,1,99,1,Alabama,AL,Monroe County,1099,no,,
101129,1,129,1,Alabama,AL,Washington County,1129,no,,
102001,1,1,2,Alabama,AL,#N/A,1001,no,,
102005,1,5,2,Alabama,AL,Barbour County,1005,no,,
102011,1,11,2,Alabama,AL,Bullock County,1011,no,,
102013,1,13,2,Alabama,AL,Butler County,1013,no,,
102031,1,31,2,Alabama,AL,Coffee County,1031,no,,
102035,1,35,2,Alabama,AL,Conecuh County,1035,no,,
102039,1,39,2,Alabama,AL,Covington County,1039,no,,
102041,1,41,2,Alabama,AL,Crenshaw County,1041,no,,
102045,1,45,2,Alabama,AL,Dale County,1045,no,,
102051,1,51,2,Alabama,AL,Elmore County,1051,no,,
102061,1,61,2,Alabama,AL,Geneva County,1061,no,,
102067,1,67,2,Alabama,AL,Henry County,1067,no,,
102069,1,69,2,Alabama,AL,Houston County,1069,no,,
102101,1,101,2,Alabama,AL,Montgomery County,1101,no,,
102109,1,109,2,Alabama,AL,Pike County,1109,no,,
103015,1,15,3,Alabama,AL,Calhoun County,1015,no,,
103017,1,17,3,Alabama,AL,Chambers County,1017,no,,
103019,1,19,3,Alabama,AL,Cherokee County,1019,no,,
103027,1,27,3,Alabama,AL,Clay County,1027,no,,
103029,1,29,3,Alabama,AL,Cleburne County,1029,no,,
103081,1,81,3,Alabama,AL,Lee County,1081,no,,
103087,1,87,3,Alabama,AL,Macon County,1087,no,,
103101,1,101,3,Alabama,AL,Montgomery County,1101,no,,
103111,1,111,3,Alabama,AL,Randolph County,1111,no,,
103113,1,113,3,Alabama,AL,Russell County,1113,no,,
103115,1,115,3,Alabama,AL,St. Clair County,1115,no,,
103121,1,121,3,Alabama,AL,Talladega County,1121,no,,
103123,1,123,3,Alabama,AL,Tallapoosa County,1123,no,,
104009,1,9,4,Alabama,AL,Blount County,1009,no,,
104019,1,19,4,Alabama,AL,Cherokee County,1019,no,,
104033,1,33,4,Alabama,AL,Colbert County,1033,no,,
104043,1,43,4,Alabama,AL,Cullman County,1043,no,,
104049,1,49,4,Alabama,AL,DeKalb County,1049,no,,
104055,1,55,4,Alabama,AL,Etowah County,1055,no,,
104057,1,57,4,Alabama,AL,Fayette County,1057,no,,
104059,1,59,4,Alabama,AL,Franklin County,1059,no,,
104071,1,71,4,Alabama,AL,Jackson County,1071,no,,
104075,1,75,4,Alabama,AL,Lamar County,1075,no,,
104079,1,79,4,Alabama,AL,Lawrence County,1079,no,,
104093,1,93,4,Alabama,AL,Marion County,1093,no,,
104095,1,95,4,Alabama,AL,Marshall County,1095,no,,
104125,1,125,4,Alabama,AL,Tuscaloosa County,1125,no,,
104127,1,127,4,Alabama,AL,Walker County,1127,no,,
104133,1,133,4,Alabama,AL,Winston County,1133,no,,
105071,1,71,5,Alabama,AL,Jackson County,1071,no,,
105077,1,77,5,Alabama,AL,Lauderdale County,1077,no,,
105083,1,83,5,Alabama,AL,Limestone County,1083,no,,
105089,1,89,5,Alabama,AL,Madison County,1089,no,,
105103,1,103,5,Alabama,AL,Morgan County,1103,no,,
106007,1,7,6,Alabama,AL,Bibb County,1007,no,,
106009,1,9,6,Alabama,AL,Blount County,1009,no,,
106021,1,21,6,Alabama,AL,Chilton County,1021,no,,
106037,1,37,6,Alabama,AL,Coosa County,1037,no,,
106073,1,73,6,Alabama,AL,Jefferson County,1073,no,,
106117,1,117,6,Alabama,AL,Shelby County,1117,no,,
107023,1,23,7,Alabama,AL,Choctaw County,1023,no,,
107025,1,25,7,Alabama,AL,Clarke County,1025,no,,
107047,1,47,7,Alabama,AL,Dallas County,1047,no,,
107063,1,63,7,Alabama,AL,Greene County,1063,no,,
107065,1,65,7,Alabama,AL,Hale County,1065,no,,
107073,1,73,7,Alabama,AL,Jefferson County,1073,no,,
107085,1,85,7,Alabama,AL,Lowndes County,1085,no,,
107091,1,91,7,Alabama,AL,Marengo County,1091,no,,
107101,1,101,7,Alabama,AL,Montgomery County,1101,no,,
107105,1,105,7,Alabama,AL,Perry County,1105,no,,
107107,1,107,7,Alabama,AL,Pickens County,1107,no,,
107119,1,119,7,Alabama,AL,Sumter County,1119,no,,
107125,1,125,7,Alabama,AL,Tuscaloosa County,1125,no,,
107131,1,131,7,Alabama,AL,Wilcox County,1131,no,,
200013,2,13,0,Alaska,AK,Aleutians East Borough,2013,no,,
200016,2,16,0,Alaska,AK,Aleutians West Census Area,2016,no,,
200020,2,20,0,Alaska,AK,Anchorage Municipality,2020,no,,
200050,2,50,0,Alaska,AK,Bethel Census Area,2050,no,,
200060,2,60,0,Alaska,AK,Bristol Bay Borough,2060,no,,
200068,2,68,0,Alaska,AK,Denali Borough,2068,no,,
200070,2,70,0,Alaska,AK,Dillingham Census Area,2070,no,,
200090,2,90,0,Alaska,AK,Fairbanks North Star Borough,2090,no,,
200100,2,100,0,Alaska,AK,Haines Borough,2100,no,,
200105,2,105,0,Alaska,AK,Hoonah-Angoon Census Area,2105,no,,
200110,2,110,0,Alaska,AK,Juneau City and Borough,2110,no,,
200122,2,122,0,Alaska,AK,Kenai Peninsula Borough,2122,no,,
200130,2,130,0,Alaska,AK,Ketchikan Gateway Borough,2130,no,,
200150,2,150,0,Alaska,AK,Kodiak Island Borough,2150,no,,
200158,2,158,0,Alaska,AK,Kodiak Island Borough,2158,no,,
200164,2,164,0,Alaska,AK,Lake and Peninsula Borough,2164,no,,
200170,2,170,0,Alaska,AK,Matanuska-Susitna Borough,2170,no,,
200180,2,180,0,Alaska,AK,Nome Census Area,2180,no,,
200185,2,185,0,Alaska,AK,North Slope Borough,2185,no,,
200188,2,188,0,Alaska,AK,Northwest Arctic Borough,2188,no,,
200195,2,195,0,Alaska,AK,Petersburg Census Area,2195,no,,
