FIPS_State,State,Total_Pop_2016,CVAP_2016,Total_Ballots_Cast_Est,RU_Target_VRS,Paperless_DREs_Tier 1,HAVA$_May_Not_Be_Planning_to_Use_Tier 2,"HAVA$_Using_But_Needs_More_Tier 3
",HAVA$_Final_Pay,HAVA$_5%_Match,HAVA$_TotalAward,HAVA$_TotalAward_$600K$3.0M,HAVA$_TotalAward_$3.1M-$5.1M,HAVA$_Total Award_$5.2M-$7.8M,HAVA$_Total Award_$7.9M-$34.6M,HAVA_Cybersecurity-Budget (Consolidated Budget for 5 yrs),HAVA-Cybersecurity-Budget-%-of-HAVA-Total Award,Number_Counties,HAVA-Cybersecurity-$ Per-County,Senate-Toss-up,House-Toss-up,CAP-grade,Voting-Access-Scorecard,InternetVoting ,IV-Uonly-fax,IV-U-only-web-email ,IV-Uonly-limited-web-email ,IV-U-plus-web-email,IV-email-ballot-limited,EPI_2016,EPI_rank_2016,EPI_indicator_count_2016,Post-election-federal-audits-mandatory,Post-election-audits-rating
1,Alabama,"3,717,000","3,651,000","2,134,061",yes,no,no,no,"6,160,393","308,020","6,468,413",,,,,"2,360,393",38,67,,no,no,C,50,no,no,no,no,no,no,0.65816289,46,14,no,4
2,Alaska,"518,000","502,000","321,271",yes,no,no,no,"3,000,000","150,000","3,150,000",,,,,0,0,25,,no,no,B,18,yes,yes,no,no,no,no,0.77914184,17,17,yes,2
4,Arizona,"5,196,000","4,585,000","2,661,497",yes,no,yes,no,"7,463,675","373,184","7,836,859",,,,,"2,756,523",36,15,,yes,no,D,14,yes,no,yes,no,no,no,0.7120325,35,16,yes,4
5,Arkansas,"2,216,000","2,116,000","1,137,772",no,no,no,yes,"4,475,015","223,751","4,698,766",,,,,0,0,75,,no,no,F,42,no,no,no,no,no,no,0.64595127,47,16,no,4
6,California,"29,894,000","24,890,000","14,610,509",yes,no,no,no,"34,558,874","1,727,944","36,286,818",,,,,"7,564,000",22,58,,no,yes,C,6,yes,yes,no,no,no,no,0.62319618,49,17,yes,3
8,Colorado,"4,242,000","3,895,000","2,859,216",yes,no,no,no,"6,342,979","317,149","6,660,128",,,,,"2,845,280",43,63,,no,no,B,7,yes,no,no,yes,no,no,0.76361072,23,17,yes,1
9,Connecticut,"2,759,000","2,483,000","1,675,955",yes,no,no,no,"5,120,554","256,028","5,376,582",,,,,"2,139,554",42,8,,no,no,B,18,no,no,no,no,no,no,0.80430448,10,16,yes,3
10,Delaware,"729,000","669,000","445,228",yes,yes,no,no,"3,000,000","150,000","3,150,000",,,,,0,0,3,,no,no,D,26,yes,no,yes,no,no,no,0.84305668,4,17,no,4
11,District of Columbia,"553,000","512,000","312,575",no,no,no,no,"3,000,000","150,000","3,150,000",,,,,"450,000",15,1,,no,no,B,1,yes,no,yes,no,no,no,0.81519681,7,17,yes,2
12,Florida,"16,202,000","14,428,000","9,580,489",yes,no,yes,no,"19,187,003","959,350","20,146,353",,,,,"10,000,000",49,67,,yes,yes,F,47,yes,yes,no,no,no,no,0.72517055,31,17,yes,4
13,Georgia,"7,626,000","7,048,000","4,165,405",no,yes,no,no,"10,305,783","515,289","10,821,072",,,,,"4,410,536",43,159,,no,no,D,32,no,no,no,no,no,no,0.71643198,34,17,no,4
