fips,state,count,toss_up_bolean,toss_up_bucket
1003,1,3,no,0
1025,1,25,no,0
1053,1,53,no,0
1097,1,97,no,0
1099,1,99,no,0
1129,1,129,no,0
1001,1,1,no,0
1005,1,5,no,0
1011,1,11,no,0
1013,1,13,no,0
1031,1,31,no,0
1035,1,35,no,0
1039,1,39,no,0
1041,1,41,no,0
1045,1,45,no,0
1051,1,51,no,0
1061,1,61,no,0
1067,1,67,no,0
1069,1,69,no,0
1101,1,101,no,0
1109,1,109,no,0
1015,1,15,no,0
1017,1,17,no,0
1019,1,19,no,0
1027,1,27,no,0
1029,1,29,no,0
1081,1,81,no,0
1087,1,87,no,0
1101,1,101,no,0
1111,1,111,no,0
1113,1,113,no,0
1115,1,115,no,0
1121,1,121,no,0
1123,1,123,no,0
1009,1,9,no,0
1019,1,19,no,0
1033,1,33,no,0
1043,1,43,no,0
1049,1,49,no,0
1055,1,55,no,0
1057,1,57,no,0
1059,1,59,no,0
1071,1,71,no,0
1075,1,75,no,0
1079,1,79,no,0
1093,1,93,no,0
1095,1,95,no,0
1125,1,125,no,0
1127,1,127,no,0
1133,1,133,no,0
1071,1,71,no,0
1077,1,77,no,0
1083,1,83,no,0
1089,1,89,no,0
1103,1,103,no,0
1007,1,7,no,0
1009,1,9,no,0
1021,1,21,no,0
1037,1,37,no,0
1073,1,73,no,0
1117,1,117,no,0
1023,1,23,no,0
1025,1,25,no,0
1047,1,47,no,0
1063,1,63,no,0
1065,1,65,no,0
1073,1,73,no,0
1085,1,85,no,0
1091,1,91,no,0
1101,1,101,no,0
1105,1,105,no,0
1107,1,107,no,0
1119,1,119,no,0
1125,1,125,no,0
1131,1,131,no,0
2013,2,13,no,0
2016,2,16,no,0
2020,2,20,no,0
2050,2,50,no,0
2060,2,60,no,0
2068,2,68,no,0
2070,2,70,no,0
2090,2,90,no,0
2100,2,100,no,0
2105,2,105,no,0
2110,2,110,no,0
2122,2,122,no,0
2130,2,130,no,0
2150,2,150,no,0
2158,2,158,no,0
2164,2,164,no,0
2170,2,170,no,0
2180,2,180,no,0
2185,2,185,no,0
2188,2,188,no,0
2195,2,195,no,0
2198,2,198,no,0
2220,2,220,no,0
2230,2,230,no,0
2240,2,240,no,0
2261,2,261,no,0
2275,2,275,no,0
2282,2,282,no,0
2290,2,290,no,0
4001,4,1,no,0
4005,4,5,no,0
4007,4,7,no,0
4009,4,9,no,0
4011,4,11,no,0
4013,4,13,no,0
4015,4,15,no,0
4017,4,17,no,0
4019,4,19,no,0
4021,4,21,no,0
4025,4,25,no,0
4003,4,3,no,0
4019,4,19,no,0
4013,4,13,no,0
4019,4,19,no,0
4021,4,21,no,0
4023,4,23,no,0
4027,4,27,no,0
4007,4,7,no,0
4012,4,12,no,0
4013,4,13,no,0
4015,4,15,no,0
4021,4,21,no,0
4025,4,25,no,0
4027,4,27,no,0
4013,4,13,no,0
4013,4,13,no,0
4013,4,13,no,0
4013,4,13,no,0
4013,4,13,no,0
5001,5,1,no,0
5005,5,5,no,0
5017,5,17,no,0
5021,5,21,no,0
5023,5,23,no,0
5031,5,31,no,0
5035,5,35,no,0
5037,5,37,no,0
5041,5,41,no,0
5049,5,49,no,0
5055,5,55,no,0
5063,5,63,no,0
5065,5,65,no,0
5067,5,67,no,0
5069,5,69,no,0
5075,5,75,no,0
5077,5,77,no,0
5079,5,79,no,0
5085,5,85,no,0
5093,5,93,no,0
5095,5,95,no,0
5107,5,107,no,0
5111,5,111,no,0
5117,5,117,no,0
5121,5,121,no,0
5123,5,123,no,0
5129,5,129,no,0
5135,5,135,no,0
5137,5,137,no,0
5147,5,147,no,0
5029,5,29,no,0
5045,5,45,no,0
5105,5,105,no,0
5119,5,119,no,0
5125,5,125,no,0
5141,5,141,no,0
5145,5,145,no,0
5007,5,7,no,0
5009,5,9,no,0
5015,5,15,no,0
5033,5,33,no,0
5089,5,89,no,0
5101,5,101,no,0
5115,5,115,no,0
5129,5,129,no,0
5131,5,131,no,0
5143,5,143,no,0
5003,5,3,no,0
5011,5,11,no,0
5013,5,13,no,0
5019,5,19,no,0
5025,5,25,no,0
5027,5,27,no,0
5033,5,33,no,0
5039,5,39,no,0
5043,5,43,no,0
5047,5,47,no,0
5051,5,51,no,0
5053,5,53,no,0
5057,5,57,no,0
5059,5,59,no,0
5061,5,61,no,0
5069,5,69,no,0
5071,5,71,no,0
5073,5,73,no,0
5081,5,81,no,0
5083,5,83,no,0
5087,5,87,no,0
5091,5,91,no,0
5097,5,97,no,0
5099,5,99,no,0
5101,5,101,no,0
5103,5,103,no,0
5109,5,109,no,0
5113,5,113,no,0
5127,5,127,no,0
