fips-short,state,color_bucket,audit,audit_bucket,5_color_bucket
2000,Alaska,1,2,0,3
1001,Alabama,-1,4,0,1
1003,Alabama,-1,4,0,1
1005,Alabama,-1,4,0,1
1007,Alabama,-1,4,0,1
1009,Alabama,-1,4,0,1
1011,Alabama,-1,4,0,1
1013,Alabama,-1,4,0,1
1015,Alabama,-1,4,0,1
1017,Alabama,-1,4,0,1
1019,Alabama,-1,4,0,1
1021,Alabama,-1,4,0,1
1023,Alabama,-1,4,0,1
1025,Alabama,-1,4,0,1
1027,Alabama,-1,4,0,1
1029,Alabama,-1,4,0,1
1031,Alabama,-1,4,0,1
1033,Alabama,-1,4,0,1
1035,Alabama,-1,4,0,1
1037,Alabama,-1,4,0,1
1039,Alabama,-1,4,0,1
1041,Alabama,-1,4,0,1
1043,Alabama,-1,4,0,1
1045,Alabama,-1,4,0,1
1047,Alabama,-1,4,0,1
1049,Alabama,-1,4,0,1
1051,Alabama,-1,4,0,1
1053,Alabama,-1,4,0,1
1055,Alabama,-1,4,0,1
1057,Alabama,-1,4,0,1
1059,Alabama,-1,4,0,1
1061,Alabama,-1,4,0,1
1063,Alabama,-1,4,0,1
1065,Alabama,-1,4,0,1
1067,Alabama,-1,4,0,1
1069,Alabama,-1,4,0,1
1071,Alabama,-1,4,0,1
1073,Alabama,-1,4,0,1
1075,Alabama,-1,4,0,1
1077,Alabama,-1,4,0,1
1079,Alabama,-1,4,0,1
1081,Alabama,-1,4,0,1
1083,Alabama,-1,4,0,1
1085,Alabama,-1,4,0,1
1087,Alabama,-1,4,0,1
1089,Alabama,-1,4,0,1
1091,Alabama,-1,4,0,1
1093,Alabama,-1,4,0,1
1095,Alabama,-1,4,0,1
1097,Alabama,-1,4,0,1
1099,Alabama,-1,4,0,1
1101,Alabama,-1,4,0,1
1103,Alabama,-1,4,0,1
1105,Alabama,-1,4,0,1
1107,Alabama,-1,4,0,1
1109,Alabama,-1,4,0,1
1111,Alabama,-1,4,0,1
1113,Alabama,-1,4,0,1
1117,Alabama,-1,4,0,1
1115,Alabama,-1,4,0,1
1119,Alabama,-1,4,0,1
1121,Alabama,-1,4,0,1
1123,Alabama,-1,4,0,1
1125,Alabama,-1,4,0,1
1127,Alabama,-1,4,0,1
1129,Alabama,-1,4,0,1
1131,Alabama,-1,4,0,1
1133,Alabama,-1,4,0,1
5001,Arkansas,-1,4,0,1
5003,Arkansas,-1,4,0,1
5005,Arkansas,1,4,0,3
5007,Arkansas,-1,4,0,1
5009,Arkansas,-1,4,0,1
5011,Arkansas,1,4,0,3
5013,Arkansas,-1,4,0,1
5015,Arkansas,-1,4,0,1
5017,Arkansas,-1,4,0,1
5019,Arkansas,-1,4,0,1
